City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
574,Gweru,ZW,64.0,broken clouds,-19.45,29.82,Suskwe Lodges
575,Pitimbu,BR,77.0,scattered clouds,-7.47,-34.81,Reserva do Abiaí
577,Sassandra,CI,77.67,clear sky,4.95,-6.08,la terrasse
578,Maracaibo,VE,79.39,broken clouds,10.63,-71.64,Motel Aladdin
579,Along,IN,46.94,scattered clouds,28.17,94.77,Hotel West
580,Porto Novo,BJ,80.6,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
582,Moa,CU,74.12,scattered clouds,20.66,-74.94,Renta en Divisa
583,Coari,BR,74.64,moderate rain,-4.08,-63.14,HOTEL ALEX FLAT
586,Cayenne,GF,77.0,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
587,Palamos,ES,48.99,overcast clouds,41.85,3.13,Hotel Rosamar
589,Santiago Del Estero,AR,86.23,overcast clouds,-27.8,-64.26,Hotel Urbano
591,Nakamura,JP,58.5,overcast clouds,32.98,132.93,Hotel Crown Hills Nakamura
593,Planaltina,BR,73.4,scattered clouds,-15.45,-47.61,Retiro Maranata
594,Morgan City,US,64.4,overcast clouds,29.7,-91.21,Hampton Inn & Suites Morgan City
595,Narok,KE,53.85,clear sky,-1.08,35.86,OLORROPIL TOWERS
596,Srivardhan,IN,69.8,clear sky,18.03,73.02,Savli Resort/Hotel - Shrivardhan
600,Mumford,GH,80.01,scattered clouds,5.26,-0.76,Spanish Villa
601,Narasannapeta,IN,62.6,clear sky,18.42,84.05,G.lingaraju home
602,Pochutla,MX,75.2,few clouds,15.74,-96.47,Hotel Posada San Jose
603,Camocim,BR,80.42,broken clouds,-2.9,-40.84,Hotel Ilha do Amor
606,Rio Gallegos,AR,55.4,scattered clouds,-51.62,-69.22,Hotel Santa Cruz
608,Vangaindrano,MG,73.54,overcast clouds,-23.35,47.6,Hotel Fanilo
609,Ngunguru,NZ,75.0,clear sky,-35.62,174.5,Pacific Rendezvous Motel Resort
610,Karratha,AU,87.01,clear sky,-20.74,116.85,ibis Styles Karratha
611,Coruripe,BR,75.81,clear sky,-10.13,-36.18,Pousada e Hotel Litoral Sul
612,Sabang,ID,81.61,overcast clouds,5.89,95.32,Hotel Citra
613,Weston,US,71.6,broken clouds,26.1,-80.4,Courtyard by Marriott Fort Lauderdale Weston
620,Yenagoa,NG,77.14,overcast clouds,4.92,6.26,Amba Hotels Limited
622,Santa Maria,BR,78.8,clear sky,-29.68,-53.81,Hotel Morotin
624,Pangkalanbuun,ID,82.89,scattered clouds,-2.68,111.62,Grand Kecubung Hotel
628,Ajdabiya,LY,55.69,clear sky,30.76,20.23,محل افطومه اللملابس نساء وأطفال
629,Zaragoza,ES,48.0,few clouds,41.66,-0.88,Hotel Goya
632,Waipawa,NZ,60.8,overcast clouds,-41.41,175.52,Tora Coastal Walk
633,Harper,LR,78.98,scattered clouds,4.38,-7.72,Screensaver
634,Ubala,CO,79.92,broken clouds,4.75,-72.54,HATO SANTA LETICIA
635,Jawhar,SO,75.58,scattered clouds,2.78,45.5,cosoble spare parts
637,Kimbe,PG,84.78,moderate rain,-5.55,150.14,Kimbe Bay Hotel
640,Mandera,KE,78.24,clear sky,3.94,41.87,Kornesh Hotel and Lodging
642,Chicama,PE,71.31,clear sky,-7.84,-79.15,Hospedaje Punta Cana PERU
643,Hualmay,PE,71.11,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
644,Trairi,BR,80.08,scattered clouds,-3.28,-39.27,janelas do mar
645,Brownwood,US,53.6,overcast clouds,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
646,Sao Gabriel Da Cachoeira,BR,74.3,moderate rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
647,Roebourne,AU,87.01,broken clouds,-20.78,117.13,Harding River Caravan Park
648,Tateyama,JP,57.99,broken clouds,34.98,139.87,Tateyama Seaside Hotel
649,Gorontalo,ID,83.57,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
650,Samarai,PG,87.13,overcast clouds,-10.62,150.67,Nuli Sapi
651,Antalaha,MG,76.06,overcast clouds,-14.9,50.28,Hotel Vitasoa
652,Bethlehem,BR,78.8,few clouds,-1.46,-48.5,Mercure Belém Boulevard Hotel
654,Zaozerne,UA,49.91,broken clouds,45.16,33.28,"Molodozhnyy Lager' ""Pioner"""
656,Buraydah,SA,51.8,broken clouds,26.33,43.98,Mövenpick Hotel Qassim
657,Daltenganj,IN,53.46,clear sky,24.03,84.07,Hotel Bandhan & Marriage Hall
662,Los Llanos De Aridane,ES,66.2,broken clouds,28.66,-17.92,Valle Aridane
664,Oriximina,BR,76.75,scattered clouds,-1.77,-55.87,Pousada Tia Amélia
665,Altamira,BR,74.05,overcast clouds,-3.2,-52.21,Requinte Hotel
667,Camacha,PT,59.0,broken clouds,33.08,-16.33,Hotel Porto Santo & Spa
668,Xicotencatl,MX,73.99,few clouds,23.02,-98.88,Misioneros Vázquez Mireles
670,Ishigaki,JP,69.8,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
673,Cabedelo,BR,77.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
675,Lima Duarte,BR,66.79,moderate rain,-21.84,-43.79,Lima Duarte MG
678,Sapatgram,IN,60.55,scattered clouds,26.33,90.11,Mustaki Firoz
680,Bundaberg,AU,84.0,light rain,-24.85,152.35,Takalvan Motel
682,Inongo,CD,73.65,overcast clouds,-1.95,18.27,Hotel Du Lac
684,Carauari,BR,71.19,overcast clouds,-4.88,-66.9,Pousada Lobo
685,Tahoua,NE,68.0,clear sky,14.89,5.27,Bungalows Guesthouse
690,Tarauaca,BR,73.02,overcast clouds,-8.16,-70.77,Flat Temporada
693,Sume,BR,70.75,clear sky,-7.67,-36.88,pousada sumé II
695,Jiangkou,CN,62.6,broken clouds,25.49,119.2,DFM Hotel
698,Hervey Bay,AU,84.99,overcast clouds,-25.3,152.85,Shelly Bay Resort
700,Pondicherry,IN,71.96,clear sky,11.93,79.83,Villa Shanti
