City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
93,Wagar,SD,16.15,36.2,67.23,80,0,8.59,clear sky,2020-12-29 01:00:48
94,Lebu,CL,-37.62,-73.65,57.94,92,21,3.74,few clouds,2020-12-29 01:00:48
95,The Valley,AI,18.22,-63.06,78.8,83,20,1.12,few clouds,2020-12-29 00:58:31
96,Port Elizabeth,ZA,-33.92,25.57,64.4,93,0,5.82,clear sky,2020-12-29 01:00:49
97,Paamiut,GL,61.99,-49.67,28.62,89,100,14.65,overcast clouds,2020-12-29 00:59:33
98,Jumla,NP,29.27,82.18,30.67,46,25,5.21,scattered clouds,2020-12-29 01:00:49
99,Waingapu,ID,-9.66,120.26,84.43,64,91,2.44,overcast clouds,2020-12-29 01:00:49
100,Kinkala,CG,-4.36,14.76,77.0,88,20,3.36,thunderstorm,2020-12-29 01:00:50
101,Dikson,RU,73.51,80.55,-25.83,86,82,8.84,broken clouds,2020-12-29 01:00:50
102,Gat,IL,31.61,34.76,55.99,17,73,1.01,broken clouds,2020-12-29 01:00:50
103,Tuktoyaktuk,CA,69.45,-133.04,-7.6,76,75,2.08,broken clouds,2020-12-29 01:00:50
104,Cave Spring,US,37.23,-80.01,48.2,66,90,11.41,overcast clouds,2020-12-29 01:00:50
105,Butaritari,KI,3.07,172.79,81.55,79,100,20.29,overcast clouds,2020-12-29 00:56:47
106,Saint-Marc-Des-Carrieres,CA,46.68,-72.05,35.6,100,100,3.36,overcast clouds,2020-12-29 01:00:51
107,Nome,US,64.5,-165.41,28.4,92,90,17.22,snow,2020-12-29 01:00:51
108,Contamana,PE,-7.33,-75.02,72.97,97,100,1.77,heavy intensity rain,2020-12-29 01:00:51
109,Constitucion,CL,-35.33,-72.42,57.72,82,0,12.01,clear sky,2020-12-29 00:55:56
110,Bluff,NZ,-46.6,168.33,73.99,50,49,5.01,scattered clouds,2020-12-29 01:00:52
111,Broome,US,42.25,-75.83,36.0,69,90,9.17,overcast clouds,2020-12-29 01:00:52
112,Charlestown,AU,-32.95,151.67,70.0,96,100,6.38,light rain,2020-12-29 01:00:52
113,Sitka,US,57.05,-135.33,42.8,60,90,14.99,overcast clouds,2020-12-29 01:00:52
114,Ostersund,SE,63.18,14.64,30.2,92,90,12.75,light snow,2020-12-29 01:00:53
115,Buchanan,LR,5.88,-10.05,78.8,94,20,7.65,few clouds,2020-12-29 00:58:12
116,Horizontina,BR,-27.63,-54.31,77.0,74,0,1.99,clear sky,2020-12-29 01:00:44
117,Plouzane,FR,48.38,-4.62,42.8,87,13,11.41,few clouds,2020-12-29 01:00:53
118,Dhidhdhoo,MV,6.88,73.1,81.45,70,0,6.76,clear sky,2020-12-29 01:00:53
119,Northam,GB,51.03,-4.22,43.0,87,99,7.0,overcast clouds,2020-12-29 00:56:55
120,Qaanaaq,GL,77.48,-69.36,21.27,92,100,8.93,light snow,2020-12-29 00:56:42
121,Horsham,GB,51.06,-0.33,37.0,93,75,6.93,broken clouds,2020-12-29 01:00:54
122,Cabo San Lucas,MX,22.89,-109.91,78.8,68,5,12.75,clear sky,2020-12-29 00:57:11
123,Kambove,CD,-10.88,26.6,61.25,100,95,3.29,light rain,2020-12-29 00:56:03
124,Olafsvik,IS,64.89,-23.71,29.3,87,98,4.99,snow,2020-12-29 01:00:54
125,Airai,TL,-8.93,125.41,71.35,78,98,1.92,overcast clouds,2020-12-29 01:00:55
126,Puerto Leguizamo,CO,-0.19,-74.78,73.11,97,100,3.0,overcast clouds,2020-12-29 01:00:55
127,Nuuk,GL,64.18,-51.72,24.8,79,100,12.75,light shower snow,2020-12-29 01:00:16
128,Puerto Ayora,EC,-0.74,-90.35,73.99,92,97,4.0,overcast clouds,2020-12-29 01:00:55
129,Skagen,DK,57.72,10.58,39.99,90,100,8.01,overcast clouds,2020-12-29 01:00:55
130,Klaksvik,FO,62.23,-6.59,35.6,80,100,41.38,freezing rain,2020-12-29 01:00:55
131,Poya,NC,-21.35,165.15,84.87,66,61,6.71,broken clouds,2020-12-29 01:00:56
132,Cabra,ES,37.47,-4.44,37.99,85,0,3.0,clear sky,2020-12-29 01:00:56
133,Nemuro,JP,43.32,145.57,19.4,79,20,6.93,few clouds,2020-12-29 01:00:56
134,Luganville,VU,-15.53,167.17,86.0,79,40,3.36,light rain,2020-12-29 01:00:57
135,Bambous Virieux,MU,-20.34,57.76,77.0,78,75,6.93,broken clouds,2020-12-29 01:00:57
136,Rocafuerte,EC,-0.92,-80.43,78.8,65,40,11.41,scattered clouds,2020-12-29 01:00:57
137,Florianopolis,BR,-27.61,-48.5,75.0,94,75,3.36,broken clouds,2020-12-29 00:59:07
138,Sayyan,YE,15.17,44.32,42.91,58,0,2.71,clear sky,2020-12-29 01:00:58
139,Tongliao,CN,43.61,122.27,-9.65,82,0,13.02,clear sky,2020-12-29 01:00:58
140,Provideniya,RU,64.38,-173.3,24.8,85,90,17.9,snow,2020-12-29 00:56:51
141,Blackwater,AU,-23.58,148.88,83.93,53,100,10.36,light rain,2020-12-29 01:00:58
142,Shirokiy,RU,49.76,129.52,-23.58,83,0,5.14,clear sky,2020-12-29 01:00:58
143,Avera,US,33.19,-82.53,50.0,75,1,4.41,clear sky,2020-12-29 01:00:59
144,Marrakesh,MA,31.63,-8.01,48.2,76,0,5.82,clear sky,2020-12-29 00:59:24
145,Kadoma,JP,34.73,135.58,46.0,87,75,3.36,broken clouds,2020-12-29 01:00:59
146,Corner Brook,CA,48.97,-57.95,26.6,79,5,3.58,clear sky,2020-12-29 01:00:59
147,Partyzany,UA,46.33,34.75,41.59,91,74,14.36,broken clouds,2020-12-29 01:01:00
148,Liwale,TZ,-9.77,37.93,69.4,97,100,4.34,overcast clouds,2020-12-29 00:56:06
149,Vilhena,BR,-12.74,-60.15,69.12,97,100,0.89,overcast clouds,2020-12-29 01:01:00
150,Pine Bluff,US,34.23,-92.0,46.4,65,1,8.05,clear sky,2020-12-29 00:57:43
151,Torbay,CA,47.67,-52.73,26.6,86,40,2.24,scattered clouds,2020-12-29 01:01:00
152,Avarua,CK,-21.21,-159.78,84.2,70,88,11.41,overcast clouds,2020-12-29 01:01:01
153,Ibipeba,BR,-11.64,-42.01,70.75,67,0,8.88,clear sky,2020-12-29 01:01:01
154,Flinders,AU,-34.58,150.86,62.01,95,100,3.0,overcast clouds,2020-12-29 01:01:01
155,Mount Isa,AU,-20.73,139.5,84.2,62,100,4.7,overcast clouds,2020-12-29 01:00:48
156,San Patricio,US,28.02,-97.52,71.6,78,75,18.34,broken clouds,2020-12-29 01:01:02
157,Kavaratti,IN,10.57,72.64,81.21,74,3,12.53,clear sky,2020-12-29 01:01:02
158,Port Lincoln,AU,-34.73,135.87,64.53,58,54,3.96,broken clouds,2020-12-29 01:01:02
159,Alenquer,BR,-1.94,-54.74,75.2,100,0,4.7,clear sky,2020-12-29 01:01:03
160,Tsaratanana,MG,-16.78,47.65,74.73,84,100,5.12,light rain,2020-12-29 01:01:03
161,Beringovskiy,RU,63.05,179.32,24.57,98,100,21.21,snow,2020-12-29 01:01:03
162,Synya,RU,65.37,58.04,-23.78,86,1,1.9,clear sky,2020-12-29 01:01:03
163,Sira,IN,13.75,76.91,60.13,72,0,1.86,clear sky,2020-12-29 01:01:03
164,Juneau,US,58.3,-134.42,39.0,87,90,16.11,overcast clouds,2020-12-29 01:00:33
165,Tecoanapa,MX,16.52,-98.75,77.18,76,1,3.06,clear sky,2020-12-29 01:01:04
166,Port Hardy,CA,50.7,-127.42,39.2,93,75,3.36,broken clouds,2020-12-29 01:00:10
167,Akhtubinsk,RU,48.28,46.17,20.66,96,0,10.09,clear sky,2020-12-29 01:01:04
168,Tokur,RU,53.13,132.9,-36.26,82,100,2.24,overcast clouds,2020-12-29 01:01:05
169,Bonthe,SL,7.53,-12.51,78.48,86,100,6.04,overcast clouds,2020-12-29 01:01:05
170,Thung Song,TH,8.16,99.68,75.2,100,20,2.8,few clouds,2020-12-29 01:01:05
171,Rabaul,PG,-4.2,152.17,84.0,74,100,7.18,moderate rain,2020-12-29 01:01:05
172,Muskogee,US,35.58,-95.33,44.6,56,1,9.17,clear sky,2020-12-29 01:01:06
173,Porto Belo,BR,-27.16,-48.55,77.0,83,75,8.05,moderate rain,2020-12-29 00:58:40
174,Kahului,US,20.89,-156.47,84.2,51,40,13.87,scattered clouds,2020-12-29 00:56:47
175,Aktash,RU,50.3,87.73,-17.34,75,95,4.97,overcast clouds,2020-12-29 01:01:06
176,Rawson,AR,-43.3,-65.1,79.43,44,95,15.46,overcast clouds,2020-12-29 01:01:07
177,Aklavik,CA,68.22,-135.01,-7.6,83,90,3.06,overcast clouds,2020-12-29 00:56:42
178,San Quintin,MX,30.48,-115.95,58.3,65,1,13.62,clear sky,2020-12-29 00:56:08
179,Son La,VN,21.32,103.9,63.18,83,3,1.21,clear sky,2020-12-29 00:56:23
180,Labrea,BR,-7.26,-64.8,74.3,94,98,0.74,light rain,2020-12-29 01:01:07
181,Najran,SA,17.49,44.13,50.0,53,0,0.81,clear sky,2020-12-29 01:01:07
182,Lompoc,US,34.64,-120.46,51.8,87,90,4.7,overcast clouds,2020-12-29 01:01:08
183,Zyryanka,RU,65.75,150.85,-28.79,81,100,8.32,overcast clouds,2020-12-29 01:01:08
184,Chimbote,PE,-9.09,-78.58,70.93,76,0,7.07,clear sky,2020-12-29 01:00:21
185,Verkhoyansk,RU,67.54,133.38,-10.64,88,97,2.57,overcast clouds,2020-12-29 01:01:08
186,Itarema,BR,-2.92,-39.92,80.17,76,89,16.78,overcast clouds,2020-12-29 01:01:09
187,Grand Gaube,MU,-20.01,57.66,73.99,83,100,4.0,overcast clouds,2020-12-29 01:01:09
188,Hovd,MN,48.01,91.64,-12.42,85,0,1.07,clear sky,2020-12-29 01:01:09
189,Putyatino,RU,54.16,41.12,6.35,95,0,7.54,clear sky,2020-12-29 01:01:09
190,Las Vegas,US,36.17,-115.14,50.0,57,75,5.82,broken clouds,2020-12-29 00:58:19
191,Kavieng,PG,-2.57,150.8,86.0,63,92,9.51,overcast clouds,2020-12-29 01:01:10
192,Great Yarmouth,GB,52.61,1.73,39.2,93,46,10.29,scattered clouds,2020-12-29 01:01:10
193,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,73.33,99,100,1.1,overcast clouds,2020-12-29 01:01:10
194,Abu Dhabi,AE,24.47,54.37,62.6,88,0,11.3,clear sky,2020-12-29 00:59:03
195,Tarija,BO,-21.54,-64.73,73.4,56,75,1.48,light rain,2020-12-29 01:01:11
196,Necochea,AR,-38.55,-58.74,69.01,86,100,16.08,light rain,2020-12-29 00:59:47
197,Nizhniy Tsasuchey,RU,50.52,115.13,-11.63,78,15,16.42,few clouds,2020-12-29 01:01:11
198,Barra Do Garcas,BR,-15.89,-52.26,75.9,79,66,3.53,broken clouds,2020-12-29 00:59:57
199,Pimentel,PE,-6.84,-79.93,71.6,73,0,16.11,clear sky,2020-12-29 01:01:12
200,Mildura,AU,-34.2,142.15,69.01,34,0,12.75,clear sky,2020-12-29 01:01:12
201,Polyarnyy,RU,69.2,33.45,19.4,79,75,4.47,broken clouds,2020-12-29 01:01:12
202,Lazaro Cardenas,MX,17.96,-102.2,72.9,73,0,4.74,clear sky,2020-12-29 00:59:45
203,Olhao,PT,37.03,-7.84,44.6,93,20,8.05,few clouds,2020-12-29 01:01:13
204,Bahia De Caraquez,EC,-0.6,-80.42,78.8,65,40,11.41,scattered clouds,2020-12-29 01:01:13
205,Palora,EC,-1.7,-77.93,64.17,96,100,2.62,overcast clouds,2020-12-29 01:01:13
206,Oussouye,SN,12.48,-16.55,73.4,88,0,4.7,clear sky,2020-12-29 01:01:13
207,Eyl,SO,7.98,49.82,77.59,77,25,20.78,scattered clouds,2020-12-29 00:59:03
208,Hami,CN,42.8,93.45,11.23,75,0,5.06,clear sky,2020-12-29 01:01:14
209,Sabha,LY,27.04,14.43,50.02,46,0,9.48,clear sky,2020-12-29 01:01:14
210,Tahe,CN,52.33,124.73,-8.39,86,100,11.32,overcast clouds,2020-12-29 01:01:14
211,Pella,RU,59.78,30.82,28.4,74,40,15.66,scattered clouds,2020-12-29 01:01:15
212,Lata,PT,40.16,-8.33,54.0,71,75,17.22,broken clouds,2020-12-29 00:57:15
213,Namibe,AO,-15.2,12.15,71.02,81,100,3.98,overcast clouds,2020-12-29 01:01:15
214,Bairiki,KI,1.33,172.98,80.6,88,75,12.75,light rain,2020-12-29 01:01:16
215,Fukue,JP,32.69,128.84,53.6,81,75,8.05,light rain,2020-12-29 01:01:16
216,Leningradskiy,RU,69.38,178.42,-12.17,83,44,3.2,scattered clouds,2020-12-29 01:01:16
217,Shubarshi,KZ,48.59,57.19,11.84,97,91,2.84,overcast clouds,2020-12-29 01:01:16
218,Leshukonskoye,RU,64.9,45.76,-1.93,92,100,3.74,overcast clouds,2020-12-29 01:01:16
219,Atikokan,CA,48.76,-91.62,-9.29,90,0,5.46,clear sky,2020-12-29 01:01:17
220,San Cristobal,VE,7.77,-72.22,64.85,92,56,2.28,broken clouds,2020-12-29 01:01:17
221,Aras,ES,42.56,-2.36,43.0,70,0,19.46,clear sky,2020-12-29 01:01:17
222,Biloela,AU,-24.42,150.5,86.5,46,100,9.42,overcast clouds,2020-12-29 01:00:12
223,Mehamn,NO,71.04,27.85,24.58,94,100,15.17,overcast clouds,2020-12-29 01:01:18
224,Holme,DK,56.11,10.17,39.2,93,100,2.24,overcast clouds,2020-12-29 01:01:18
225,Rio Das Ostras,BR,-22.53,-41.95,77.0,83,0,12.75,clear sky,2020-12-29 00:58:21
226,Yerkoy,TR,39.64,34.47,43.12,59,100,0.38,overcast clouds,2020-12-29 00:57:05
227,Noyabrsk,RU,63.2,75.45,-9.35,90,100,17.45,light snow,2020-12-29 01:01:18
228,Teguise,ES,29.06,-13.56,60.8,82,20,8.05,few clouds,2020-12-29 01:01:19
229,Vyazemskiy,RU,47.54,134.75,-10.39,80,60,13.56,broken clouds,2020-12-29 01:01:19
230,Lodeynoye Pole,RU,60.73,33.55,19.58,92,100,9.73,overcast clouds,2020-12-29 01:01:19
231,Yumen,CN,40.28,97.2,5.13,77,39,5.53,scattered clouds,2020-12-29 01:01:19
232,Sistranda,NO,63.73,8.83,42.8,60,0,29.97,clear sky,2020-12-29 01:01:20
233,Lavrentiya,RU,65.58,-171.0,17.92,96,100,15.14,light snow,2020-12-29 01:01:20
234,Aykhal,RU,66.0,111.5,-16.6,82,75,8.95,light snow,2020-12-29 01:01:20
235,Kumbo,CM,6.2,10.67,60.17,48,99,4.16,overcast clouds,2020-12-29 01:01:20
236,Mount Gambier,AU,-37.83,140.77,60.8,82,90,14.99,overcast clouds,2020-12-29 01:01:20
237,Pedro Juan Caballero,PY,-22.55,-55.73,75.06,72,34,4.43,scattered clouds,2020-12-29 01:01:21
238,Galeana,MX,24.83,-100.07,57.0,20,0,3.0,clear sky,2020-12-29 01:01:21
239,Grand Forks,US,47.94,-97.43,3.2,84,1,10.29,clear sky,2020-12-29 01:01:21
240,Sikeston,US,36.88,-89.59,35.6,76,1,5.82,clear sky,2020-12-29 01:01:21
241,Saint-Pierre,RE,-21.34,55.48,77.0,69,0,19.46,clear sky,2020-12-29 01:01:21
242,Mogadishu,SO,2.04,45.34,78.85,81,76,17.65,light rain,2020-12-29 00:59:16
243,San Vicente,AR,-26.62,-54.13,70.03,83,33,3.36,light rain,2020-12-29 01:01:22
244,San Francisco,US,37.77,-122.42,55.4,66,75,6.93,broken clouds,2020-12-29 00:57:33
245,Bayir,TR,37.27,28.22,46.4,100,20,2.24,mist,2020-12-29 01:01:22
246,Khatanga,RU,71.97,102.5,-31.32,83,84,16.24,broken clouds,2020-12-29 01:01:22
247,Lewistown,US,40.6,-77.57,39.2,64,90,11.41,overcast clouds,2020-12-29 01:01:23
248,Manzil Salim,TN,35.86,8.48,48.2,42,0,16.11,clear sky,2020-12-29 01:01:23
249,Thanatpin,MM,17.21,96.3,73.4,88,0,5.82,clear sky,2020-12-29 01:01:23
250,Carutapera,BR,-1.2,-46.02,79.16,79,100,8.3,moderate rain,2020-12-29 01:01:23
251,Wanning,CN,18.8,110.4,72.1,81,2,5.17,clear sky,2020-12-29 01:01:24
252,Asilah,MA,35.47,-6.03,55.4,82,75,12.75,light intensity drizzle,2020-12-29 01:01:24
253,Scarborough,GB,54.28,-0.4,37.0,93,100,1.99,moderate rain,2020-12-29 00:58:40
254,Yunyang,CN,33.45,112.71,42.01,41,100,18.12,light rain,2020-12-29 01:01:24
255,Simao,CN,22.79,100.97,51.53,74,3,1.1,clear sky,2020-12-29 00:57:48
256,Ambikapur,IN,23.12,83.2,52.68,69,0,0.76,clear sky,2020-12-29 01:01:24
257,Bathsheba,BB,13.22,-59.52,78.8,88,40,3.36,scattered clouds,2020-12-29 01:01:25
258,Vao,NC,-22.67,167.48,77.85,78,52,18.75,broken clouds,2020-12-29 01:01:25
259,Tasiilaq,GL,65.61,-37.64,26.6,92,100,4.34,overcast clouds,2020-12-29 01:01:25
260,Vagur,FO,61.47,-6.81,38.23,85,100,37.69,light snow,2020-12-29 01:01:26
261,Richards Bay,ZA,-28.78,32.04,72.03,80,0,10.02,clear sky,2020-12-29 00:58:14
262,Salalah,OM,17.02,54.09,71.6,49,0,6.93,clear sky,2020-12-29 01:01:26
263,Loukhi,RU,66.08,33.04,18.5,96,100,8.95,overcast clouds,2020-12-29 01:01:26
264,Monterey,US,36.25,-121.25,44.01,97,43,5.97,scattered clouds,2020-12-29 00:58:22
265,Pontes E Lacerda,BR,-15.23,-59.34,73.45,92,100,1.36,overcast clouds,2020-12-29 01:01:26
266,Huarmey,PE,-10.07,-78.15,70.5,81,98,8.23,overcast clouds,2020-12-29 01:01:26
267,Basoko,CD,1.24,23.62,72.99,90,100,2.93,overcast clouds,2020-12-29 01:01:27
268,Norman Wells,CA,65.28,-126.83,-4.0,83,75,4.7,broken clouds,2020-12-29 01:01:27
269,Alanya,TR,36.54,32.0,57.2,67,75,5.82,light rain,2020-12-29 01:01:27
270,Westport,US,41.14,-73.36,42.8,81,40,3.36,scattered clouds,2020-12-29 01:01:07
